start	end	text
300	2240	Приветствую, с вами Вектор Т13.
3120	7380	В сегодняшнем уроке мы поговорим с вами о отпечатке Canvas.
8360	12600	Наверняка многие из вас, когда услышали, что мы будем говорить об отпечатке Canvas,
13120	16040	подумали, что я сейчас буду очередной раз рассказывать,
16340	20760	насколько этот отпечаток не важен, насколько его нужно менять или не нужно,
21080	24380	или то же самое, что я говорил на протяжении многих-многих лет.
24380	30160	Но дело в том, что есть информация, которую нужно давать в паблик,
30480	33320	а есть информация, которую лучше сохранить.
33840	38560	И поэтому я вам сейчас расскажу то, что вы не найдете нигде.
39100	43420	Потому что вы никогда не видели отпечатка Canvas.
44120	49280	И я не говорю сейчас про байтовый массив или хэшбэйс 64, огромный такой,
49600	51380	или про что-нибудь еще.
52300	54260	Вы никогда не видели.
54380	55920	Вы никогда не видели реального отпечатка Canvas.
56280	58900	И вы не знаете, зачем он используется.
60340	61140	Интересно?
61800	62600	Итак, поехали.
63160	67600	Начнем мы с того, что перед нами сейчас находится наш отпечаток Canvas.
68020	68660	Якобы.
69080	72680	На самом деле это не совсем отпечаток Canvas.
73820	77040	И что мы привыкли с этим отпечатком делать?
77520	82060	Фактически основная задача пользователей и всех антидетектов
82060	84060	это поменять вот эту сигнатуру.
84380	90020	Изменить отпечаток таким образом, чтобы он был желательно не уникальный.
90020	95860	Конечно же, я не буду сейчас рассказывать про то, насколько бесполезная эта база данных
95860	98500	и что опираться на нее это верх идиотизма.
98500	100760	Просто примем как факт.
100760	105940	Отпечаток нужно поменять и желательно, чтобы не был уникальный.
105940	110660	На этом знания пользователей и их цели полностью заканчиваются.
110660	112660	Никто не идет дальше.
112660	114360	Никто не знает, зачем это.
114360	119360	Этот отпечаток был придуман и как он работает в действительности.
119360	121360	Но начнем мы пока с простого.
121360	127360	По аналогии с нашими предыдущими уроками по WebGL и аудио,
127360	135360	наверное, вы видели, что на тесте производительности у нас есть еще и тест производительности Canvas.
135360	137360	Вот он.
137360	143360	В данном случае Canvas был отрисован за 13,8 миллисекунды.
144360	156360	Отличается ли этот бенчмарк от такого же бенчмарка на сервере, где-нибудь на ВПС или же виртуальной машине?
156360	167360	Для того, чтобы ответить на этот вопрос, я сейчас покажу вам виртуальную машину Anti-Detect без GPU Boost.
167360	173360	То есть в данном случае видеокарта на данной виртуальной машине не подвержена никаким антидетектам.
174360	184360	То есть, иными словами, отпечаток Canvas будет не ускоренный, а абсолютно такой же, как на любой другой виртуальной машине.
184360	186360	Итак, вот мы находимся внутри виртуальной машины.
186360	189360	Давайте запустим данный бенчмарк.
189360	193360	Запускаем его.
193360	199360	Как мы видим, по результату теста WebGL, поскольку эта машина, повторюсь, без GPU Boost,
199360	203360	по результату теста WebGL мы видим, что у нас палится WebGL, как виртуальная машина.
204360	208360	Но тест Canvas превышен менее чем в два раза.
208360	219360	Если мы будем проводить эти тесты заново, мы можем увидеть, что у нас результат выполнения этого теста может отличаться как в большую, так и в меньшую сторону.
219360	228360	В данном случае мы видим, что он у нас составляет сейчас 18,6, то есть уменьшился больше, чем на 6 единиц.
228360	232360	В то время как и на основной машине, на физической он тоже уменьшился.
232360	244360	И, в принципе, если мы будем сейчас нажимать эти кнопки туда-сюда, у нас результат выполнения данной операции будет плюс-минус одинаковый.
244360	246360	К чему я хочу это сказать?
246360	256360	Разница между виртуальной машиной и между реальной машиной в бенчмарке Canvas несущественна и практически не играет никакой роли.
256360	260360	Я сейчас возьму на эту виртуальную машину, добавлю еще ресурсов,
260360	266360	и фактически будет то же самое время выполнения, как и на реальной машине.
266360	276360	При том, что на реальной машине у меня на секундочку 64 ядра процессора, 128 гигабайт оперативной памяти, плюс относительно мощная видеокарта.
276360	285360	Так вот, получается, что WebGL является великолепнейшим способом для того, чтобы задетектить виртуальную машину, ВПСки и антидетекты.
285360	288360	Аудио-отпечаток тоже довольно-таки неплохой метод для того, чтобы понять, что у нас происходит.
288360	290360	Аудио-отпечаток тоже довольно-таки неплохой метод для того, чтобы понять, что у нас происходит.
290360	294360	Аудио-отпечаток тоже довольно-таки неплохо метод для того, чтобы понять, что у нас происходит.
294360	296360	Но Canvas для этого абсолютно не подходит.
296360	299360	Но Canvas для этого абсолютно неподходит.
299360	301360	Остается только менять защитный метод или его печаток?
301360	303360	Остается только менять защитный метод или его печаток?
303360	305360	Остается только менять защитный метод или его печаток?
305360	308360	Серьезно?
308360	316360	Как я и говорил ранее, это не то, что вы видите.
316360	318360	Кроме того, не можете воспринимать Мuar�.
318360	320360	Но давайте тогда от менее весьма hvorенного теста.
321140	324740	Вам многим вполне известна данная страница.
324840	326340	Данный чекер был написан мной.
327280	332800	Буквально что-то в районе получаса времени пришлось потратить для того, чтобы его написать.
333400	335620	И в своих вебинарах я его уже показывал.
335680	338520	Я не буду сейчас на нем останавливаться.
338520	344100	Здесь различного рода тесты на предмет пикселей, расхождений, шумов и так далее.
344660	349240	Но появилась здесь в нашем видео одна очень интересная строчка.
349240	351220	Вот эта строчка.
351780	354180	Называется она CPU-MD5.
355260	356320	Что это такое?
357380	364840	Дело в том, что никто из вас никогда не видел реального настоящего канваса.
365580	366840	Я объясню вам почему.
367700	373360	Дело в том, что канвас бывает CPU-Canvas и GPU-Canvas.
373360	379220	То есть, картинка может быть отрисована различными методами.
379240	381240	Не обязательно только видеокарты.
381240	383240	Может быть отрисована только процессором.
383240	387240	Давайте сейчас проведем небольшой тест.
387240	390240	Вот мы находимся сейчас внутри виртуальной машины.
390240	396240	Посмотрим сейчас, включено ли у нас аппаратное ускорение на нашей виртуальной машине.
399240	401240	Итак, вот мы перешли на тест WebGL.
401240	405240	Мы видим, что у нас в данном случае используется видеокарта NVIDIA.
405240	406240	Все ок.
406240	409240	Ну и, собственно говоря, в самом видеокарте.
409240	411240	В браузере Google Chrome.
411240	413240	Мы перейдем на вкладку GPU.
413240	419240	Для того, чтобы увидеть, что у нас канвас используется Hardware Accelerated.
