start	end	text
220	8840	Приветствую, с вами Вектор Т13. Сегодня мы поговорим о абсолютно новом конгломерате браузерных отпечатков.
9080	14720	Мы с вами на предыдущих уроках уже изучили какие новые технологии, например, как WebAssembly,
14920	19320	либо же получение отпечатка с помощью WebGPU.
20020	28920	Но в этом году, в 2025 году, как ни странно, довольно большое количество новых технологий было представлено.
28920	34460	И этим летом была представлена технология, которая называется браузер FM.
34820	37500	Соответственно, документ вы сейчас видите на своих экранах.
38000	42460	Вы можете этот документ скачать по его названию, найти и ознакомиться с ним,
42820	49460	либо же вы можете скачать данный документ в приложении к данному видеоуроку на сайте DetectExpert.
50120	52120	Итак, что такое браузер FM?
52120	57840	Да не введет вас в заблуждение слово, точнее, слово-буква-сочетание FM.
57840	62920	Это не радио, это Future Model, сокращенно.
63400	65140	То есть браузер Future Model.
65880	66900	Что это такое?
67500	72840	На текущий момент это самый большой из существующих браузерных отпечатков.
74940	79080	Сейчас я вам расскажу, как он появляется и как он выглядит.
79700	81100	Выглядит он довольно просто.
81520	85080	Вот у меня подготовлена как раз страница чекера данного отпечатка.
85080	91160	И те, кто следил за каналом антидетект в Телеграме,
91680	102400	те наверняка уже ознакомились с данным отпечатком, поскольку я давал для него небольшой нонс.
103720	105240	Что делает данный отпечаток?
106260	107080	Давайте проверим.
107740	110080	Мы сейчас попробуем его на моем тесте.
110080	112880	Мой тест не полный, он усеченный.
113200	115080	Но попробуем выкрутить его на максимум.
116040	124000	И вот мы получаем наш отпечаток браузера и какие-то непонятные значения.
124780	125940	Что же это такое?
127120	131440	Сейчас произошла так называемая BOM-энумерация.
132340	136960	Сбор происходит путем обхода BrowserObjectModel.
136960	144960	Таких классов как Window, Navigator, Screen, Performance, CSS, GPT.
145080	158540	Иными словами, BrowserFM, BrowserFutureModel, технология позволяет считать 16 тысяч параметров с вашего компьютера.
158740	161000	С вашего браузера и вашего компьютера.
161980	163940	Но это довольно большое значение, согласитесь.
163940	172220	Если, например, раньше, когда мы работали с каким-то отпечатком, я вот помню, как сейчас, 2011 год,
172520	175040	когда можно было зарабатывать великолепно.
175040	179380	Деньги путем работы с AdSense с помощью Тора.
